Alternative,g1,g2,g3,g4,Class
a1,55.6,123.17,0.29,30,Cl2
a2,45.93,2,0,17,Cl1
a3,122.6,77.47,4.76,53.72,Cl3
a4,64.37,973.93,2.02,92,Cl3
a5,90.51,462.79,3.43,81,Cl3
a6,125.4,744.85,4.01,100,Cl4
a7,50.26,510.81,1.74,76,Cl2
a8,70.24,1126,24.28,100,Cl3
a9,45.37,745.03,4.79,84,Cl2
a10,48.23,93.3,0.46,45.1,Cl2
a11,94.11,1121,5.06,92,Cl4
a12,129.78,1040.72,4.81,95,Cl4
a13,89.31,1095.97,7.27,94,Cl3
a14,88.92,747.85,4.26,85,Cl3
a15,95.14,156.68,0.18,55,Cl3
a16,108.41,717.24,13.26,50,Cl3
a17,88.3,334.32,3.53,40,Cl2
a18,53.08,403.03,13.72,79,Cl3
a19,55.47,207.45,0.34,40,Cl3
a20,42.99,196.2,0.06,33,Cl2
a21,38.6,204.62,0.05,16,Cl1
a22,23.57,0,0,5,Cl1
a23,29.68,21.7,0,15,Cl2
a24,25.17,14.57,0,15,Cl1
a25,30.42,29.79,0,18.4,Cl1
a26,40.35,2.4,0,26,Cl1
a27,41.08,277.54,0,40.72,Cl2
a28,87.23,122.34,0.22,39.15,Cl2
a29,37.59,95.27,0.21,25,Cl2
a30,32.28,78.2,0.39,39,Cl2
a31,45.68,932.57,0.55,70,Cl3
a32,28.78,361.6,0.47,42,Cl1
a33,37.76,167.01,9.16,58,Cl2
a34,36.59,19.91,0.1,21,Cl1
a35,42.15,171.38,4.38,59,Cl2
a36,51.88,235.2,0.68,35,Cl2
a37,51.48,119.49,0.84,55,Cl2
a38,32.95,280.05,2.71,20,Cl1
a39,45.59,248.76,1.84,15,Cl2
a40,48.22,63.33,1.54,43.38,Cl2
a41,42.29,243.9,1.28,55,Cl2
a42,36.17,367.16,2.95,83,Cl1
a43,21.14,163,0.23,65,Cl2
a44,21.05,304,0,55,Cl2
a45,31.06,50.08,0,50,Cl2
a46,27.58,110,0,25,Cl2
a47,16,247,0,65,Cl2
a48,13.21,255,0,55,Cl1
a49,27.31,236.1,0,70,Cl3
a50,30.52,343,0,45,Cl2
a51,25.27,132,0,30,Cl2
a52,32.65,405,0,65,Cl3
a53,19.45,315,0,75,Cl2
a54,36.18,176.36,0,55,Cl3
a55,30.41,241,0,30,Cl2
a56,20.51,91,0,45,Cl2
a57,12.93,335,0,65,Cl1
a58,38.52,138,0.49,70,Cl4
a59,25.62,223,0.08,53,Cl2
a60,32.74,411.38,0.26,80,Cl3
a61,26.98,605.27,0.1,80,Cl3
a62,22.16,360,0,45,Cl2
a63,27.79,105.05,0.09,80,Cl2
a64,15.96,372,0.02,60,Cl1
a65,33.98,209,0,40,Cl3
a66,19.73,585,0.08,70,Cl2
a67,32.42,491.64,0.08,100,Cl3
a68,23.22,59,0,15,Cl2
a69,39.54,516.55,0.26,63,Cl2
a70,41.72,94.84,0.21,46,Cl2
a71,43.01,234.25,0.4,61,Cl2
a72,53.05,69,0.84,50.98,Cl2
a73,28.96,109.19,0.21,40,Cl1
a74,23.57,326.24,1.74,70,Cl2
a75,36.44,209.62,0.63,70,Cl3
a76,37.57,288.99,2.85,65,Cl3
a77,37.4,273.69,1.65,33,Cl3
a78,26.75,221.33,3,50,Cl3
a79,24.11,236.65,0.21,100,Cl2
a80,33.13,261.99,0.45,75,Cl3
a81,41.36,94.77,0.16,58,Cl2
a82,34.49,211.85,1.7,70,Cl3
a83,31.7,358,0,75,Cl3
a84,27.97,247.16,0,50,Cl2
a85,22.84,382,0.2,25,Cl2
a86,37.91,135.28,7.4,65,Cl3
a87,31.22,305.03,0.13,80,Cl3
a88,27.29,120,2.69,40,Cl2
a89,24.79,11.88,0,8.19,Cl1
a90,31.07,251,0.06,65,Cl3
a91,31.71,236.12,0.16,70,Cl3
a92,37.76,274,0,60,Cl3
a93,32.55,261,0,60,Cl2
a94,38.59,287.22,0.91,70,Cl3
a95,35.97,231.07,0.05,80,Cl4
a96,19.68,66,0,25,Cl1
a97,14.94,381,0,50,Cl1
a98,40.5,224.48,0.37,70,Cl3
a99,25.86,216,0,35,Cl2
a100,24.95,84,0,47,Cl2
a101,31.27,85.69,0,35,Cl2
a102,28.74,136,0,12,Cl2
a103,20.81,211,0,30,Cl2
a104,24.55,48,0,33,Cl1
a105,23.8,92.8,0.14,45,Cl2
a106,28.82,47,0.16,60,Cl2
a107,40.09,99.25,0.08,75,Cl2
a108,38.23,130,0.06,35,Cl2
a109,43.52,756.97,0.38,42,Cl2
a110,31.36,114,0,22,Cl1
a111,36.1,851.33,1,37,Cl2
a112,28.46,317.99,0.11,30,Cl2
a113,28.79,66,0,30,Cl2
a114,44.38,13.26,0,32.27,Cl2
a115,32.38,143.48,0.06,65,Cl2
a116,50.16,297.66,3.21,59,Cl2
a117,40.13,106.45,0.05,64,Cl2
a118,69.58,208.68,0.6,25,Cl1
a119,40.31,19,1.14,9,Cl1
a120,46.25,71.41,0.19,30,Cl2
a121,56.46,135.29,0.73,70,Cl2
a122,66.33,81.75,1.01,58,Cl2
a123,60.69,258.49,1.97,47,Cl2
a124,70.94,287.01,0.61,58,Cl2
a125,41.59,51,1.16,53,Cl2
a126,59.32,412.32,1.12,44,Cl2
a127,47.65,17.67,0,18.2,Cl1
a128,57.1,515.71,0.7,47,Cl2
a129,44.37,153.23,0.68,56,Cl1
a130,70.02,250.39,1.69,52,Cl2
a131,60.99,518.98,2.11,72,Cl3
a132,57,381.62,1.2,55,Cl2
a133,48.57,477.5,1.72,54,Cl2
a134,61.74,123.3,0.25,40,Cl2
a135,67.93,395.37,1.4,39,Cl2
a136,47.34,162.95,0.75,21,Cl1
a137,53.34,516.84,2.48,62,Cl3
a138,68.67,3,0,34.5,Cl3
a139,38.23,2,0,43,Cl2
a140,24.55,6,0,15,Cl1
a141,0,41.38,81,17,Cl1
a142,40.77,131.19,11.81,54,Cl2
a143,60.8,539.1,43.51,74,Cl3
a144,28.86,5.31,11.24,48,Cl2
a145,18.36,34,1.57,40,Cl1
a146,2.42,56,14.83,60,Cl1
a147,116.19,396.65,6.62,100,Cl3
a148,33.18,186.95,92.06,41.15,Cl2
a149,98.41,305.43,23.82,79.05,Cl3
a150,102.58,510.09,2.52,85,Cl2
a151,140,0,0,5,Cl1
a152,112.95,173.24,3.47,70,Cl3
a153,70.67,74.48,70.44,22,Cl3
a154,110.91,292.06,3.64,80,Cl3
a155,73.82,674.12,1.46,77,Cl3
a156,32.09,253.09,5.14,78,Cl2
a157,67.32,1331.18,3.68,88,Cl2
a158,4.59,134.09,34.79,53,Cl2
a159,49.05,37.4,0.36,27,Cl2
a160,36.95,285.26,0,20,Cl2
a161,18.93,41.52,3.65,19.87,Cl1
a162,48.76,87.43,2.07,64,Cl2
a163,41.35,333.49,0.64,55,Cl2
a164,32.93,150.01,0.22,57,Cl2
a165,98.57,104.32,14.86,62,Cl3
a166,30.46,36.43,47.71,36.24,Cl2
a167,68.19,226.02,11.8,61,Cl3
a168,19.57,2,0,28,Cl1
a169,23.5,36,0,15,Cl1
a170,98.37,480.56,1.02,92,Cl3
a171,74.19,1803.48,0.71,80,Cl3
a172,76.74,475.15,0.25,70,Cl3
a173,32.23,982,22.74,83,Cl3
a174,18.93,71.3,0,20,Cl1
a175,53.62,0,32.34,17,Cl2
a176,87.39,544.71,1.48,63,Cl3
a177,100.8,779.71,8.7,78,Cl4
a178,112.48,579.37,7.62,75,Cl4
a179,26,18.7,7,15,Cl1
a180,42.59,552.81,2.94,73,Cl2
a181,7.41,54.08,63.14,59,Cl2
a182,61.05,297.86,93.54,70,Cl3
a183,7.04,167.86,35.44,75,Cl2
a184,55.68,512.35,2.23,92,Cl4
a185,41.19,25.59,1.17,15,Cl2
a186,123.82,551.1,1.33,80,Cl3
a187,37.26,284.72,38.04,100,Cl3
a188,40.19,640,36.98,75,Cl2
a189,114.06,1219,8.83,80,Cl4
a190,81.27,459.68,4.53,75,Cl3
a191,44.17,2.34,13,3.33,Cl2
a192,102.19,1314,12.72,80,Cl3
a193,95.57,278.46,5.2,45,Cl3
a194,110.82,174.92,4.97,30,Cl3
a195,37.13,279.35,6.56,80,Cl2
a196,25.5,240.64,5.71,39,Cl1
a197,86.51,103.83,1.93,48.24,Cl3
a198,86.59,428.53,1.24,20,Cl2
a199,46.94,76.64,7.19,70,Cl2
a200,30.76,299.45,18.47,80,Cl2
a201,66.66,223.31,18.43,66.18,Cl2
a202,104.1,477.44,11.22,96.75,Cl4
a203,125.23,951,6.79,100,Cl4
a204,89.41,602.1,12.49,72,Cl3
a205,118.88,547.58,5.17,75,Cl3
a206,34.93,215.1,10.79,90,Cl2
a207,60.47,453.26,19.62,96,Cl3
a208,97.8,238.19,10.6,69,Cl3
a209,34.28,66.08,7.4,46.1,Cl2
a210,52.58,456.58,8.73,35,Cl3
a211,31.23,375.66,4.18,53,Cl1
a212,14.03,521.2,15.25,85,Cl2
a213,44.86,15.83,1.43,33.75,Cl2
a214,28.48,463.84,5.9,70,Cl1
a215,99.43,750.42,5.79,60,Cl3
a216,55.05,408.74,2.73,91.55,Cl4
a217,95.6,174.72,32.48,85,Cl3
a218,65.5,142.79,0.89,65,Cl1
a219,102.82,94.37,1.29,38.71,Cl3
a220,116.94,2651.87,6.59,100,Cl4
a221,107.75,420.62,1.26,70,Cl2
a222,90.12,313.15,5.59,86,Cl3
a223,110.33,1135,4.54,90,Cl3
a224,90.91,479.04,8.33,40,Cl2
a225,87.77,446.47,4.18,85,Cl3
a226,88.34,400.87,4.29,65,Cl3
a227,43.98,64.65,5.4,39.69,Cl2
a228,95.02,451.37,10.44,95,Cl4
a229,61.95,294.77,1.3,81,Cl2
a230,23.37,30,9.55,60,Cl2
a231,64.32,358.62,20.65,81,Cl3
a232,75.1,295.54,0.19,73,Cl2
a233,93.89,413.85,6.81,71,Cl3
a234,46,471.95,0.28,74,Cl3
a235,44.66,271.28,0.6,43,Cl2
a236,45.09,414.53,2.75,55,Cl2
a237,86.74,689.19,4.9,50,Cl2
a238,87.74,143.02,6.23,72,Cl3
a239,71.4,81.91,1.43,55,Cl2
a240,64.1,226.54,4.67,64,Cl2
a241,44.58,305.47,1.68,75,Cl3
a242,103.37,478.91,9.02,87,Cl4
a243,114.38,663.52,4.79,95,Cl3
a244,14.83,164.78,17.39,70,Cl2
a245,52.16,39.85,1.8,63,Cl2
a246,21.16,338.71,29.78,77,Cl2
a247,5.35,733,2.61,80,Cl1
a248,43.25,436.11,8.1,65,Cl2
a249,44.33,48.96,8.26,48,Cl2
a250,82.24,854,17.31,98,Cl3
a251,107.81,794.85,2.69,100,Cl4
a252,83.35,847.68,21.28,72,Cl3
a253,58.58,153.03,10.2,50,Cl2
a254,32.41,157.19,20.38,60,Cl2
a255,17.98,252.52,8.18,60,Cl2
a256,91.3,887.04,5.43,60,Cl3
a257,69.79,82.92,1.68,42,Cl2
a258,76.25,680.35,4.18,71,Cl2
a259,93.85,282.13,3.98,50,Cl3
a260,46.04,584,21.31,90,Cl3
a261,115.45,574.68,8.04,78,Cl3
a262,46.58,225.3,14.55,70,Cl2
a263,57.78,166.12,83.5,74.97,Cl3
a264,23.9,165.61,23.23,75,Cl1
a265,28.34,558.35,23.82,77,Cl3
a266,74.88,35.76,19.21,55,Cl3
a267,50.12,245.85,0.38,30,Cl2
a268,93.22,380,5.42,62,Cl3
a269,44.27,402.06,0.6,75,Cl3
a270,115.28,617.1,3.13,70,Cl3
a271,33.75,214.47,36.44,90,Cl3
a272,47.37,184.13,16.51,69,Cl3
a273,97.8,766.2,6.62,84,Cl4
a274,111.7,265.2,14.41,30,Cl3
a275,52,237.27,2.04,27.83,Cl1
a276,52.52,59.26,37.36,48.45,Cl3
a277,77.06,253.82,15.49,70,Cl3
a278,59.15,477.93,6.31,77,Cl3
a279,62.82,24.17,6.24,32.24,Cl1
a280,14.91,0,0,5,Cl1
a281,124.87,258.05,3.03,25,Cl3
a282,80.15,95.37,2.97,20,Cl2
a283,80.67,415.41,9.87,61,Cl3
a284,77.92,173.55,7.5,55,Cl2
a285,99.24,1212.51,3.98,100,Cl4
a286,5.34,243.59,30.93,58,Cl2
a287,35.15,36.92,0.69,20,Cl1
a288,27.79,136.93,17.62,59.29,Cl2
a289,23.86,71.99,6.99,40,Cl1
a290,93.33,495.8,2.72,70,Cl3
a291,82.07,256.05,1.64,87,Cl3
a292,103.28,669.47,4.09,100,Cl3
a293,75.06,65.4,5.95,80,Cl3
a294,48.86,116.84,2.2,45,Cl2
a295,55.09,282.04,18.24,92,Cl2
a296,46.42,364.35,2.18,75,Cl3
a297,62.51,194.01,5.33,80,Cl2
a298,42.33,153.69,9.11,48.08,Cl2
a299,0,6,0,15,Cl1
a300,57.24,552.46,0.7,82,Cl3
a301,105.68,218.17,0.88,35,Cl3
a302,57.82,546.64,3.34,80,Cl4
a303,82.19,90.73,1.3,40,Cl2
a304,19.46,785.11,23.11,80,Cl3
a305,20.59,304.06,9.57,75,Cl1
a306,23.18,289.75,16.48,80,Cl3
a307,49.23,219.73,12.82,66,Cl2
a308,70.73,111.46,11.27,71,Cl2
a309,37.42,817.38,1.38,46,Cl1
a310,43.52,182.44,22.18,65,Cl2
a311,33.63,157.83,2.88,68,Cl1
a312,80.72,319.35,15.06,100,Cl3
a313,82.69,602.71,8.36,93,Cl3
a314,68.36,533.11,7.06,78,Cl3
a315,75.66,214.95,14.84,90,Cl3
a316,57.28,373.81,23.93,79,Cl3
a317,63.84,835.45,10.62,88,Cl3
a318,55.2,213.36,7.05,85,Cl2
a319,47.79,215.87,9.47,70,Cl2
a320,106,531.45,15.18,60,Cl3
a321,0,13.27,8.29,0,Cl1
a322,27.86,240.2,14.84,82,Cl2
a323,73.52,574.81,1.16,73,Cl2
a324,45.27,149.18,8.05,60,Cl2
a325,65.96,104.96,0.93,46,Cl1
a326,45.86,480.15,0.15,81,Cl3
a327,43.87,13.18,0.03,26.27,Cl1
a328,39.09,1172.76,0.2,76,Cl2
a329,47.9,924.59,0.55,63,Cl3
a330,38.18,757.41,0.11,45,Cl2
a331,45.05,967.03,0.19,38,Cl3
a332,32.79,45.25,0.28,0,Cl1
a333,22.02,354.53,47.14,74,Cl2
a334,27.72,18.36,0,32.12,Cl1
a335,30.95,17,0,15,Cl1
a336,33.5,167.42,0.12,28,Cl2
a337,38.58,44.47,0.66,41,Cl2
a338,27.64,31.05,0,28,Cl1
a339,33.61,7,0,42,Cl1
a340,37.16,10,0,17,Cl1
a341,37.76,21,0,15,Cl1
a342,42.8,17,0,10,Cl2
a343,15.02,0.24,0,10,Cl1
a344,32.05,0,0,15,Cl1
a345,41.05,20.41,2.07,38.56,Cl1
a346,110.66,15,0,40,Cl2
a347,107.25,865,15.29,100,Cl4
a348,67.28,102,11.83,70.72,Cl3
a349,44.09,0,0,31.36,Cl1
a350,109.94,290.43,4.69,40,Cl3
a351,37.79,19.61,0.68,66.56,Cl2
a352,14.3,3,0,14,Cl1
a353,12.33,30,0,38,Cl1
a354,0,0,0,39,Cl1
a355,87.73,776.96,10.4,78.84,Cl4
a356,66.98,100.95,1.53,48,Cl2
a357,70.26,252.18,5.81,73,Cl2
a358,97.74,602.02,12.18,51,Cl3
a359,53.78,234.57,48.36,74,Cl3
a360,44,8.58,0.13,51,Cl2
a361,3.93,332.33,89.71,33,Cl2
a362,14.59,190.27,8.68,74,Cl2
a363,87.31,207.33,40.31,71,Cl3
a364,14.07,444,21.43,68,Cl2
a365,92.73,4,0,46,Cl3
a366,56.47,190.68,3.87,7,Cl3
a367,56.18,268.63,1.98,40,Cl2
a368,27.44,269,0.11,40,Cl2
a369,23.66,275.89,0.18,90,Cl2
a370,39.31,49.2,0.47,50,Cl3
a371,28.96,192,0.4,60,Cl3
a372,38.7,11.28,0.02,8.81,Cl1
a373,22.42,50,0,40,Cl2
a374,24.34,263,0,50,Cl2
a375,22.43,87,0,35,Cl1
a376,40.92,80,0,70,Cl4
a377,25.26,42,0,55,Cl2
a378,58,20,1.67,34,Cl1
a379,25.38,3.84,0.1,8.81,Cl1
a380,30.47,12.57,0.33,21.88,Cl1
a381,44.54,871,5.89,89,Cl2
a382,44.54,44.4,1.26,42.06,Cl2
a383,81.91,450.36,5.43,91,Cl4
a384,30.38,25,0,11,Cl2
a385,30.59,18,0,5,Cl2
a386,34.05,365,0,36,Cl2
a387,28.62,156.02,0.72,60,Cl1
a388,54.76,712.26,7.53,70,Cl3
a389,62.12,210.06,1.23,46,Cl2
a390,70.25,194.05,0.81,58,Cl2
a391,75.51,664.73,5.71,92,Cl3
a392,48.76,175.08,0.3,30,Cl2
a393,58.58,57.74,7.82,52,Cl2
a394,52.91,90.21,0.5,60,Cl2
a395,90.54,242.61,0.68,63,Cl3
a396,69.75,506.73,5.81,80,Cl3
a397,68.18,946.18,3.41,78,Cl2
a398,90.63,569.53,2.96,50,Cl2
a399,46.62,481.84,0.31,27,Cl3
a400,68.77,565.66,16.6,80,Cl3
a401,130.26,1211.21,7.49,83,Cl4
a402,89.75,1165.43,4.34,83,Cl4
a403,63.08,480.46,6.11,58,Cl3
a404,110.63,389.33,1.19,50,Cl2
a405,62.85,964.01,11.79,100,Cl3
a406,74.48,379.04,11.27,78,Cl3
a407,54.18,322.16,13,63,Cl2
a408,59.14,359.65,0.36,45,Cl3
a409,31.92,53,0.41,35,Cl2
a410,57.82,132.9,0.19,35,Cl2
a411,46.99,25.64,0,18.08,Cl2
a412,45.54,247.11,0.53,60,Cl2
a413,55.22,706.75,0.75,77,Cl2
a414,41.28,63.55,0.06,10,Cl2
a415,57.25,67.65,3,35.43,Cl1
a416,44.83,576.64,0.6,90,Cl2
a417,71.75,95.07,0.55,43.43,Cl2
a418,52.22,100.72,0.89,42,Cl2
a419,102.16,542.65,4.6,67,Cl2
a420,47.32,661.97,3.12,90,Cl2
a421,56.94,255.52,1.99,80,Cl2
a422,62.01,899.9,3.81,88,Cl2
a423,70.99,185.04,8.05,80,Cl3
a424,75.75,302.5,2.48,65,Cl3
a425,98.25,314.39,5.11,80,Cl3
a426,118.37,808,9.15,91,Cl3
a427,48.11,49.74,2.09,49.7,Cl2
a428,45.83,96.71,0.62,28,Cl2
a429,118.61,78.7,13.81,59,Cl3
a430,131.63,343.52,6.23,48.28,Cl3
a431,60.97,452.2,2,90,Cl2
a432,116.71,751.19,3.76,84,Cl3
a433,61.54,861.18,2.07,85,Cl2
a434,86.65,411.56,1.16,65,Cl2
a435,91.29,469.12,3.14,68,Cl2
a436,75.26,1135.13,7.93,80,Cl3
a437,51.58,322.81,0.55,35,Cl3
a438,122.87,458.08,2.76,65,Cl3
a439,52.05,463.1,8.56,36,Cl2
a440,52.77,199.47,0.51,70,Cl2
a441,44.17,118.63,0.31,20,Cl2
a442,57.45,498.39,1.62,43,Cl2
a443,61.7,350.53,1.05,43,Cl2
a444,40.82,167.65,0.82,42,Cl1
a445,77.49,136.46,1.44,70,Cl3
a446,54.91,480.99,3.46,90,Cl2
a447,80.36,748.2,2.17,90,Cl3
a448,79.03,269.77,7.48,80,Cl3
a449,58.15,508.26,1.2,69,Cl2
a450,100.25,294.11,0.5,50,Cl2
a451,88.82,525.47,5.24,82,Cl3
a452,47.78,271.23,3.01,30,Cl2
a453,53.03,966.18,4.12,50,Cl2
a454,156.04,609.39,3.53,80,Cl3
a455,43.8,300.9,1.81,80,Cl2
a456,57.82,1146,6.51,82,Cl3
a457,83.52,159.28,6.29,20.69,Cl2
a458,53.72,284.18,0.86,50,Cl2
a459,86.42,69.79,0.41,50,Cl2
a460,43.48,123,0.02,10,Cl2
a461,106.91,112.68,2.9,45,Cl2
a462,81.99,231.53,0.8,70,Cl3
a463,70.27,1282.04,2.12,71,Cl3
a464,51.64,362.83,2.48,80,Cl2
a465,115.38,364.93,3.63,75,Cl3
a466,60.86,323,2.92,75,Cl2
a467,55.54,331.22,6.3,78,Cl2
a468,73.58,284.72,6.63,90,Cl3
a469,90.83,766.31,7.73,80,Cl3
a470,81.08,1219.73,5.16,73,Cl3
a471,86.09,14.28,0.03,57.75,Cl3
a472,73.15,1359.03,4.5,93,Cl3
a473,47.95,386.92,0.68,30,Cl3
a474,70.67,252.07,4.5,84,Cl3
a475,63.04,330.68,0.61,60,Cl2
a476,53.66,203.09,0.45,38,Cl2
a477,52.25,221.58,1.37,60,Cl2
a478,74.09,407.38,2.98,84,Cl2
a479,43.52,73.35,4.71,43.66,Cl2
a480,49,2,0,15,Cl2
a481,27.82,65.37,0.07,20,Cl2
a482,66.69,415.03,0.04,90,Cl3
a483,39.81,124.25,0.81,70,Cl2
a484,130.47,1066.49,3.88,100,Cl4
a485,77.09,1408,5.69,90,Cl3
a486,63.76,524.51,3.02,41,Cl2
a487,122.28,520.32,3.04,90,Cl3
a488,47.24,395.04,5.13,56,Cl2
a489,58.8,479.84,3.6,70,Cl2
a490,87.99,335.41,5.81,70,Cl2
a491,50.6,456.52,4.82,100,Cl3
a492,123.21,751,36.12,100,Cl4
a493,56.38,498.43,2.13,58,Cl2
a494,94.98,442.76,1.54,90,Cl3
a495,58.05,991.59,5.77,68,Cl3
a496,83.94,656.18,7.57,100,Cl3
a497,58.46,361.63,2.05,64,Cl2
a498,54.99,518.07,8.29,86,Cl3
a499,36.71,130.93,0.38,25,Cl2
